월,날짜,지역,전시회명,장소,산업군
2,2.12 (수) - 2.14 (금),국내,한국전기산업대전 & 한국발전산업전,"코엑스 A, B홀",Energy
2,2.12 (수) - 2.14 (금),국내,코리아스마트그리드엑스포,"코엑스 A, B홀",Living & Culture
2,2.26 (수) - 3.2 (일),국내,서울리빙디자인페어,"코엑스 A, B, C, D홀",Living & Culture
3,3.5 (수) - 3.7 (금),국내,인터배터리 (InterBattery),"코엑스 A, B, C, D홀, 그랜드볼룸, The Platz",Energy
3,3.12 (수) - 3.14 (금),국내,스마트공장·자동화산업전 (AME),"코엑스 A, B, C, D홀, 로비, 그랜드볼룸",Digital Transformation
4,4.2 (수) - 4.5 (토),국내,서울커피엑스포,"코엑스 A, B홀",Food & Service
4,4.2 (수) - 4.5 (토),국내,한국국제베이커리페어,코엑스 D홀,Food & Service
4,4.10 (목) - 4.12 (토),국내,IFS 프랜차이즈 창업·산업 박람회 상반기,"코엑스 C, D홀",Food & Service
4,4.16 (수) - 4.20 (일),국내,화랑미술제,"코엑스 A, B홀",Living & Culture
4,4.18 (금) - 4.20 (일),해외,다낭 국제 베이비&키즈페어,다낭 센터 엑스포,Living & Culture
4,4.24 (목) - 4.26 (토),국내,월드 IT쇼,"코엑스 A, B1, C홀",Digital Transformation
5,5.1 (목) - 5.4 (일),국내,코베베이비페어 (상반기),코엑스 A홀,Living & Culture
5,5.7 (수) - 5.9 (금),해외,인터배터리 유럽 (InterBattery Europe),"Messe Munchen, 독일 뮌헨",Energy
5,5.8 (목) - 5.10 (토),국내,올댓트래블,코엑스 D홀,Mobility
6,6.3 (화) - 6.5 (목),국내,EV 트렌드 코리아,코엑스 A홀,Mobility
6,6.3 (화) - 6.5 (목),국내,자율주행모빌리티산업전 (AME),코엑스 B홀,Mobility
6,6.5 (목) - 6.8 (일),해외,베트남 국제 프리미엄 소비재전,"SECC, 베트남 호치민",Living & Culture
6,6.5 (목) - 6.8 (일),해외,호치민 국제 베이비&키즈페어,"SECC, 베트남 호치민",Living & Culture
6,6.18 (수) - 6.22 (일),국내,서울국제도서전,"코엑스 A, B홀",Living & Culture
6,6.25 (수) - 6.27 (금),국내,코리아호텔쇼,코엑스 D홀,Food & Service
6,6.26 (목) - 6.28 (토),국내,IFS 프랜차이즈 창업·산업 박람회 마곡,코엑스 마곡 전시장,Food & Service
7,7.9 (수) - 7.11 (금),국내,무인이동체산업엑스포,코엑스 C홀,Living & Culture
7,7.16 (수) - 7.18 (금),해외,일렉트릭에너지쇼 (ELECS),"SECC, 베트남 호치민",Energy
7,7.17 (목) - 7.19 (토),국내,농식품 테크 스타트업 창업박람회,코엑스 C홀,Food & Service
7,7.17 (목) - 7.20 (일),국내,캐릭터 라이선싱 페어,"코엑스 A, B홀",Living & Culture
7,7.23 (수) - 7.26 (토),국내,2026학년도 수시 대학입학정보박람회,"코엑스 A, B홀",Living & Culture
9,9.3 (수) - 9.7 (일),국내,한국국제아트페어 (KIAF SEOUL),"코엑스 A, B, C, D홀",Living & Culture
9,9.11 (목) - 9.14 (일),국내,서울리빙디자인페어 in 마곡,코엑스 마곡 전시장,Living & Culture
9,9.11 (목) - 9.14 (일),해외,자카르타 국제 프리미엄 소비재전,"JCC, 인도네시아 자카르타",Living & Culture
9,9.25 (목) - 9.27 (토),국내,IFS 프랜차이즈 창업·산업 박람회 하반기,"코엑스 C, D홀",Food & Service
9,9.25 (목) - 9.27 (토),해외,하노이 국제 베이비&키즈페어,"I.C.E, 베트남 하노이",Living & Culture
10,10.15 (수) - 10.17 (금),국내,그린 비즈니스 위크,코엑스 A홀,Energy
10,10.29 (수) - 11.1 (토),국내,코엑스 푸드위크(서울국제식품산업전),"코엑스 A, B, C홀, The Platz",Food & Service
10,10.29 (수) - 11.1 (토),국내,월드 푸드테크 엑스포,코엑스 C홀,Food & Service
10,10.30 (목) - 11.1 (토),해외,베트남 리테일샵 및 프랜차이즈쇼 (VIETRF),"SECC, 베트남 호치민",Food & Service
10,10.30 (목) - 11.1 (토),해외,베트남 커피 엑스포 (Coffee Expo Vietnam),"SECC, 베트남 호치민",Food & Service
11,11.5 (수) - 11.7 (금),국내,한국건축산업대전,코엑스 B홀,Living & Culture
11,11.6 (목) - 11.9 (일),국내,코베 베이비페어 (하반기),코엑스 A홀,Living & Culture
11,11.26 (수) - 11.28 (금),국내,서울국제소싱페어,코엑스 C홀,Living & Culture
11,11.27 (목) - 11.29 (토),국내,한국국제사인디자인전(KOSIGN),코엑스 A홀,Living & Culture
12,12.18 (목) - 12.20 (토),국내,2026학년도 정시 대학입학정보박람회,코엑스 A홀,Living & Culture
미정,미정,해외,베트남 스마트공장·자동화산업전,베트남(예정),Digital Transformation